nom,rfc,dit,noc,cbo,folder_name
22.0000,103.0000,0.0000,0.0000,0.0000,Gadgetbridge
49.0000,175.0000,1.0000,0.0000,10.0000,Gadgetbridge
5.0000,13.0000,0.0000,0.0000,0.0000,Gadgetbridge
4.0000,4.0000,1.0000,0.0000,0.0000,Gadgetbridge
11.0000,31.0000,2.0000,0.0000,1.0000,Gadgetbridge
15.0000,35.0000,0.0000,0.0000,0.0000,Gadgetbridge
2.0000,5.0000,1.0000,0.0000,0.0000,Gadgetbridge
5.0000,10.0000,1.0000,0.0000,3.0000,Gadgetbridge
5.0000,10.0000,1.0000,2.0000,0.0000,Gadgetbridge
6.0000,17.0000,1.0000,15.0000,2.0000,Gadgetbridge
5.0000,9.0000,1.0000,1.0000,0.0000,Gadgetbridge
3.0000,6.0000,2.0000,2.0000,0.0000,Gadgetbridge
2.0000,3.0000,1.0000,1.0000,0.0000,Gadgetbridge
2.0000,4.0000,2.0000,0.0000,0.0000,Gadgetbridge
8.0000,19.0000,2.0000,2.0000,2.0000,Gadgetbridge
5.0000,49.0000,2.0000,0.0000,5.0000,Gadgetbridge
1.0000,1.0000,2.0000,0.0000,0.0000,Gadgetbridge
2.0000,4.0000,2.0000,0.0000,1.0000,Gadgetbridge
16.0000,32.0000,1.0000,1.0000,0.0000,Gadgetbridge
1.0000,1.0000,0.0000,0.0000,0.0000,Gadgetbridge
3.0000,7.0000,2.0000,0.0000,1.0000,Gadgetbridge
1.0000,2.0000,1.0000,0.0000,1.0000,Gadgetbridge
8.0000,36.0000,2.0000,0.0000,7.0000,Gadgetbridge
10.0000,41.0000,1.0000,0.0000,6.0000,Gadgetbridge
10.0000,41.0000,2.0000,0.0000,2.0000,Gadgetbridge
1.0000,1.0000,0.0000,0.0000,0.0000,Gadgetbridge
5.0000,62.0000,2.0000,0.0000,9.0000,Gadgetbridge
33.0000,163.0000,2.0000,0.0000,9.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
4.0000,15.0000,2.0000,0.0000,4.0000,Gadgetbridge
1.0000,1.0000,0.0000,0.0000,0.0000,Gadgetbridge
14.0000,69.0000,2.0000,0.0000,8.0000,Gadgetbridge
2.0000,2.0000,0.0000,0.0000,0.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
5.0000,5.0000,0.0000,0.0000,0.0000,Gadgetbridge
5.0000,19.0000,3.0000,0.0000,6.0000,Gadgetbridge
1.0000,4.0000,2.0000,0.0000,2.0000,Gadgetbridge
6.0000,13.0000,1.0000,0.0000,3.0000,Gadgetbridge
15.0000,78.0000,1.0000,3.0000,9.0000,Gadgetbridge
7.0000,13.0000,3.0000,0.0000,2.0000,Gadgetbridge
3.0000,3.0000,2.0000,0.0000,0.0000,Gadgetbridge
5.0000,7.0000,2.0000,0.0000,1.0000,Gadgetbridge
5.0000,21.0000,2.0000,0.0000,5.0000,Gadgetbridge
5.0000,13.0000,2.0000,0.0000,4.0000,Gadgetbridge
1.0000,3.0000,0.0000,0.0000,0.0000,Gadgetbridge
2.0000,5.0000,1.0000,0.0000,1.0000,Gadgetbridge
2.0000,4.0000,1.0000,0.0000,0.0000,Gadgetbridge
3.0000,7.0000,1.0000,0.0000,0.0000,Gadgetbridge
46.0000,182.0000,2.0000,5.0000,15.0000,Gadgetbridge
3.0000,11.0000,2.0000,0.0000,2.0000,Gadgetbridge
2.0000,4.0000,0.0000,0.0000,0.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
11.0000,49.0000,3.0000,2.0000,4.0000,Gadgetbridge
0.0000,0.0000,1.0000,0.0000,0.0000,Gadgetbridge
0.0000,0.0000,0.0000,0.0000,0.0000,Gadgetbridge
9.0000,46.0000,3.0000,0.0000,5.0000,Gadgetbridge
